titulo_diario;texto_diario;type;by;post_id;post_link;post_message;picture;full_picture;link;link_domain;post_published;post_published_unix;post_published_sql;likes_count_fb;comments_count_fb;reactions_count_fb;shares_count_fb;engagement_fb;comments_retrieved;comments_base;comments_replies;comments_likes_count;texto propio;localizacion_info;genero;tema;temp;modalidad;observaciones;rea_NONE;rea_LIKE;rea_LOVE;rea_WOW;rea_HAHA;rea_SAD;rea_ANGRY;rea_THANKFUL
 lanacion.com  premiado por su excelencia en periodismo digital;"
La edición digital de LA NACION (  lanacion.com  ) obtuvo el máximo galardón en la categoría ""Excelencia en Periodismo Digital"" de sitios de noticias que no se publican en inglés en los Online Journalism Awards que otorga todos los años la Online News Association (ONA), junto con la Escuela de Comunicación de la Universidad de Miami .

Se trata del certamen donde se entrega el premio de periodismo digital más importante de los Estados Unidos.

El diario digital de LA NACION compartió la terna con el sitio español El País y el brasileño G1Globo . La elección de los premios de periodismo online 2010 procura estimular las nuevas narrativas en los medios digitales. El año pasado también estuvo nominado como finalista, pero el galardón mayor se lo llevó el experimental Soitu.es , criatura creada por el mismo equipo que hoy conduce el diario digital del grupo Prisa.
 Argumento.  El jurado que seleccionó a  lanacion.com  para otorgarle tan destacado premio señaló que se trata de un sitio de ""periodismo de primer nivel"", y destacó la forma interactiva, atractiva, de diseño limpio y funcional que disfruta el lector al navegar sus páginas.

Un equipo de 12 periodistas que representan a la industria de Internet en todos sus aspectos (contenidos, negocio, anunciantes y formación académica) se reunió en la Universidad de Coral Gables, Florida, para seleccionar a los medios finalistas, que incluyen desde sitios de noticias independientes y sin fines de lucro hasta grandes medios de comunicación.
 El premio.  La ONA agrupa a las grandes publicaciones digitales en inglés: diarios como el Washington Post , The New York Times , USA Today , The Guardian y Daily Telegraph , portales como Yahoo! y MSN , referentes web como NPR.com , CNN y PBS.org , o irreverentes como The Onion , entre otros. Su premio anual es el ""Oscar del periodismo digital de EE.UU"". En su gran conferencia anual ofrece uno de los mejores  workshops  de prácticas, desarrollos y nuevas tendencias en periodismo multimedia.

Los ganadores de esta edición se dieron a conocer hoy, en el hotel Marriott Renaissance de Washington DC, en una cena de gala en la que también fueron premiados cnn.com , nytimes.com , espn.com , NPR.com , entre otros.

Este año se introdujeron algunos cambios para para reconocer el importante rol de las nuevas plataformas como tabletas y teléfonos celulares.

Entre otras novedades, se incorporó un aporte de 33.000 dólares en premios, cortesía de la Fundación Gannett y la Fundación John S. y James L. Knight Foundation, además de incluir entre los seleccionados a sitios que promueven la investigación periodística.
";link;post_page_71339054219;71339054219_137370206312752;https://www.facebook.com/71339054219/posts/137370206312752;http://bit.ly/92FqFZ;https://external.xx.fbcdn.net/safe_image.php?d=AQDaAi12yzOJ_wlb&w=130&h=130&url=http%3A%2F%2Fbucket.ak.lanacion.com.ar%2Fanexos%2Ffotos%2F97%2F1288897w75h50.jpg&cfs=1;https://external.xx.fbcdn.net/safe_image.php?d=AQCJisi3_hY4TV0m&url=http%3A%2F%2Fbucket.ak.lanacion.com.ar%2Fanexos%2Ffotos%2F97%2F1288897w75h50.jpg;http://www.lanacion.com.ar/nota.asp?nota_id=1320239;lanacion.com.ar;2010-10-31T13:04:25+0000;1288530265;10/31/2010 14:04:25;66;22;66;0;88;22;22;0;9;2.0;2.0;1.0;12.0;1.0;0.0;;0;62;0;0;0;0;0;0
Hasta hoy hay tiempo para censarse telefónicamente;"
Las personas que no fueron relevadas el pasado miércoles durante el operativo del censo tienen tiempo hasta mañana para ser censados telefónicamente, mediante la línea gratuita dispuesta por el Instituto Nacional de Estadística y Censos (Indec).

Según informaron fuentes del Indec mediante el 0800-999-23676 (CENSO) fueron encuestadas desde el miércoles hasta ayer 35.000 personas que no habían sido visitadas por ningún censista.

El 0800 seguirá funcionando hoy y mañana, de 6 a 24. El Indec anunció que pasado mañana brindaría información más precisa sobre el avance del sondeo nacional.

El censo continuaba hoy en varias localidades patagónicas que por lejanía o complicaciones meteorológicas no pudieron ser censadas, mientras las planillas de relevamientos completos en otros puntos del país comenzaron a enviarse a Buenos Aires.

El coordinador general del censo, Roberto Muiños señaló que gran parte de los relevamientos realizados fueron remitidos a la sede central del INDEC para su procesamiento.

Muiños recordó que el miércoles, a pesar de la conmoción que generó la muerte del ex presidente Néstor Kirchner, ""el día del censo fue extraordinario"". ""Estas actividades terminarán mañana y eso estaba planificación del censo"", manifestó el funcionario en diálogo con Radio 10.

Por su parte, algunas localidades rurales de Río Negro y Santa Cruz eran censadas hoy luego de que las lluvias del miércoles impidieran el acceso a los censistas el miércoles, con lo que se completará el fin de semana el proceso en la región.
";link;post_page_71339054219;71339054219_152629331447261;https://www.facebook.com/71339054219/posts/152629331447261;http://bit.ly/aWeXJU;https://external.xx.fbcdn.net/safe_image.php?d=AQDOdIaiMIRt78sd&w=130&h=130&url=http%3A%2F%2Fwww.lanacion.com.ar%2Fimgs%2Flayout%2Flogos%2Fln_w75h50.jpg&cfs=1;https://external.xx.fbcdn.net/safe_image.php?d=AQDhdl_Bl6gsc0fp&url=http%3A%2F%2Fwww.lanacion.com.ar%2Fimgs%2Flayout%2Flogos%2Fln_w75h50.jpg;http://www.lanacion.com.ar/nota.asp?nota_id=1320100;lanacion.com.ar;2010-10-30T22:56:37+0000;1288479397;10/31/2010 0:56:37;6;9;6;0;15;9;9;0;1;2.0;2.0;1.0;11.0;1.0;0.0;;0;6;0;0;0;0;0;0
Afirman que la Presidenta encabezará un acto el martes en Córdoba;"
El gobierno de Córdoba informó que la presidenta Cristina Kirchner asistirá el próximo martes a la provincia para encabezar una acto en una planta fabril, en la que sería su primera aparición pública tras la muerte de Néstor Kirchner.

A través de un comunicado, la administración provincial informó que el gobernador Juan Schiaretti ""recibió este mediodía la confirmación de la visita de la Presidenta"", que estaba agendada desde hace varias semanas.

La actividad está prevista para el martes a las 17 en la planta de la empresa Renault, de la capital provincial, donde se presentará un nuevo modelo de automóvil, se informó oficialmente.

Según consignó la agencia DyN, el gobierno cordobés precisó que Schiaretti recibió hoy un llamado del secretario general de la Presidencia, Oscar Parrilli, para transmitirle la decisión de la jefa del Estado de encabezar la actividad del martes.
 Rápido regreso.  Según pudo saber LA NACION, Cristina Kirchner sólo se tomará el fin de semana de descanso. La orden fue clara: ""Hay que recuperar la gestión"", dijo ayer la Presidenta a un grupo de ministros que la acompañaron hasta el aeropuerto de Buenos Aires bajo la lluvia, antes de volar hacia aquí para la ceremonia final en Río Gallegos.

Ella les pidió que se quedaran allí. ""Ya me acompañaron bastante. No paremos. Ya está. Vuelvan a trabajar"", fueron algunas de sus palabras a sus funcionarios de confianza.

Quienes pudieron compartir ayer las horas finales de la despedida destacaban que Cristina Kirchner había tomado como una señal de fuerte impulso la multitud de jóvenes que habían colmado la Plaza de Mayo en homenaje al ex presidente. Algo de eso se apresuró a hacer público el canciller Héctor Timerman, cuando anunció nada menos que anteayer, en pleno velatorio, que la Presidenta irá por la reelección en 2011.

Y a pesar de que entre los más íntimos de la jefa del Estado existía malestar por esas palabras del canciller, a las que consideraron ""poco oportunas"", la idea central de lo que vendrá es eso: mostrar a la jefa del Estado fortalecida ante la adversidad.
";link;post_page_71339054219;71339054219_108233882576731;https://www.facebook.com/71339054219/posts/108233882576731;http://bit.ly/9IF7t2;https://external.xx.fbcdn.net/safe_image.php?d=AQCJ4Ja82XUNvJJi&w=130&h=130&url=http%3A%2F%2Fbucket.ak.lanacion.com.ar%2Fanexos%2Ffotos%2F41%2F1288641w75h50.jpg&cfs=1;https://external.xx.fbcdn.net/safe_image.php?d=AQC2dy4qv2uIERAi&url=http%3A%2F%2Fbucket.ak.lanacion.com.ar%2Fanexos%2Ffotos%2F41%2F1288641w75h50.jpg;http://www.lanacion.com.ar/nota.asp?nota_id=1320108;lanacion.com.ar;2010-10-30T20:42:28+0000;1288471348;10/30/2010 22:42:28;14;42;14;0;56;40;40;0;38;2.0;2.0;1.0;1.0;4.0;0.0;;0;14;0;0;0;0;0;0
Ballottage en Brasil: Rousseff y Serra cierran sus campañas;"
A horas de que unos 135 millones de brasileños retornen a las urnas para escoger al sucesor de Luiz Inácio Lula da Silva, la oficialista Dilma Rousseff, favorita según los sondeos, y su adversario socialdemócrata José Serra relaizaron los cierres de sus campañas.

La candidata oficialista a la presidencia de Brasil, Dilma Rousseff, afirmó hoy que, en caso de ser electa, mañana, contará con el consejo y el apoyo del presidente Luiz Lula da Silva, su mentor político, aunque negó la posibilidad de que el ex sindicalista ocupe un cargo.

""El presidente Lula siempre será una persona con la cual voy a contar siempre. Tengo una inmensa confianza política y personal. Siempre que pueda conversaré con el. Tendré una relación muy íntima y muy fuerte. Nadie en este país me separará del presidente Lula"", dijo Rousseff en Belo Horizonte.

La candidata, favorita en las encuestas frente al opositor José Serra, negó la posibilidad de que Lula ocupe lugar dentro de su posible gabinete, durante una caravana por Belo Horizonte, su ciudad natal.

Para cerrar la campaña electoral, el presidente de Brasil, Luiz Lula da Silva, eligió realizar una caravana subido a una camioneta del Partido de los Trabajadores (PT) por las calles de Recife, en el estado de Pernambuco, noreste del país.

El presidente de Brasil, Luiz Lula da Silva, acusó hoy al candidato opositor a la presidencia el domingo, José Serra, de haber hecho una campaña de ""bajo nivel"" y con ""prejuicios hacia las mujeres"", al pedir el voto para aspirante a la sucesión, Dilma Rousseff.

En el último día de la propaganda electoral televisiva y obligatoria para los dos candidatos, el espacio de Rousseff presentó a un Lula en tono de despedida. ""Por primera vez mi retrato no estará en la urna, pero en la que usted presione el número 13 aparecerá el retrato de Dilma. Así, usted estará votando un poquito en mí"", dice Lula en la publicidad de fin de campaña.

Por su parte, el opositor José Serra, aspirante del Partido de la Social Democracia Brasileña (PSDB), hizo campaña durante una caminata en el centro de Sao Paulo, acompañado por el ex presidente Fernando Henrique Cardoso.
 Debate tibio.  El último debate televisivo entre Rousseff y Serra, ocurrió anoche en Rio de Janeiro, en la TV Globo, en un encuentro que se limitó a ser correcto y sin sobresaltos.

Tanto Rousseff como Serra siguieron la estrategia de suavizar su imagen y pasar página a una campaña salpicada de ataques y constantes golpes bajos por parte de ambos partidos.

En su alocución final, Rousseff admitió que la campaña fue ""dura"" y dijo no guardar rencor por las ""calumnias"" dirigidas contra ella, a la vez que pidió el voto para encabezar un gobierno que se centre ""en las personas y no en números, en el cemento o en el ladrillo"".

Serra, que marcha detrás en las encuestas, hizo su mayor crítica al gobierno del presidente Luiz Lula da Silva al afirmar que ""el grado de impunidad con la corrupción en Brasil es inaceptable, con escándalos grandes en los que nadie va preso"".

Agencias ANSA y AFP
";link;post_page_71339054219;71339054219_129737593746139;https://www.facebook.com/71339054219/posts/129737593746139;http://bit.ly/bSZqTX;https://external.xx.fbcdn.net/safe_image.php?d=AQDOdIaiMIRt78sd&w=130&h=130&url=http%3A%2F%2Fwww.lanacion.com.ar%2Fimgs%2Flayout%2Flogos%2Fln_w75h50.jpg&cfs=1;https://external.xx.fbcdn.net/safe_image.php?d=AQDhdl_Bl6gsc0fp&url=http%3A%2F%2Fwww.lanacion.com.ar%2Fimgs%2Flayout%2Flogos%2Fln_w75h50.jpg;http://www.lanacion.com.ar/nota.asp?nota_id=1320081;lanacion.com.ar;2010-10-30T19:03:53+0000;1288465433;10/30/2010 21:03:53;5;7;5;0;12;5;5;0;5;2.0;3.0;1.0;1.0;1.0;0.0;;0;5;0;0;0;0;0;0
Buscan a dos marinos tras el naufragio de un buque en Necochea;"
Por Darío Palavecino  Corresponsal en Mar del Plata

MAR DEL PLATA. Dos tripulantes permanecen desaparecidos tras el hundimiento de un barco pesquero, ocurrido esta madrugada al sudeste de esta ciudad.

Los otros siete marinos que completaban la dotación fueron rescatados por un buque que operaba en la zona y llegarán a tierra en el transcurso de esta tarde.

El naufragio del ""Unión"", que tenía casco de madera y amarre en el puerto de Mar del Plata, se produjo durante un fuerte temporal que azotó desde ayer a la costa atlántica y que encontró a este pesquero cuando navegaba en cercanías de Necochea.

Prefectura Naval Argentina, con apoyo de otras embarcaciones pesqueras, mantiene el operativo con guardacostas y helicóptero para tratar de dar con los dos marinos que aún continúan desaparecidos.
";link;post_page_71339054219;71339054219_108238442575230;https://www.facebook.com/71339054219/posts/108238442575230;http://bit.ly/coNn3c;https://external.xx.fbcdn.net/safe_image.php?d=AQDOdIaiMIRt78sd&w=130&h=130&url=http%3A%2F%2Fwww.lanacion.com.ar%2Fimgs%2Flayout%2Flogos%2Fln_w75h50.jpg&cfs=1;https://external.xx.fbcdn.net/safe_image.php?d=AQDhdl_Bl6gsc0fp&url=http%3A%2F%2Fwww.lanacion.com.ar%2Fimgs%2Flayout%2Flogos%2Fln_w75h50.jpg;http://www.lanacion.com.ar/nota.asp?nota_id=1320086;lanacion.com.ar;2010-10-30T19:03:32+0000;1288465412;10/30/2010 21:03:32;4;2;4;0;6;2;2;0;1;2.0;2.0;1.0;11.0;2.0;0.0;;0;4;0;0;0;0;0;0
Los mosquitos no sólo transmiten el dengue;"
En el último Congreso Internacional de Infectología Pediátrica y Vacunas, convocado recientemente en Buenos Aires por la Sociead Argentina de Infectologia Pediátrica (SADIP), los especialistas presentes trataron entre otros temas uno particularmente preocupante en esta época del año, que son las transmisiones producidas por mosquitos. La doctora Silvia Conzález Ayala, jefa de Infectologia del Hospital de Pediatría Sor María Ludovica de la ciudad de La Plata se refirió a una afección quizá poco conocida, pero sobre la que se debe estar atentos porque, fumdamentalmente, es transmitida por una variedad de mosquito muy común, el Culex qinuefasciatus. Se trata de la llamada ""encefalitis de San Luis"".

La enfermedad es producida por un flavivirus y tiene un período de incubación de entre 5 y 15 días. Pero sólo un 1% tiene sintomatología clínica. De acuerdo con la caracterización hecha por la Organización Panamericana de la Salud (OPS), las manifestaciones graves de la encefalitis de San Luis tienen un inicio abrupto caracterizado por cefalea, fiebre alta, mareos, náuseas y malestar general.

En la mayoría de los casos la recuperación es espontánea, pero puede haber casos –especialmente en la población de adultos mayores– de infección en el sistema nervioso central que se manifiestan como rigidez de nuca, confusión, desorientación o temblores, hasta llegar incluso al coma. No hay vacunas ni antivirales: sólo el tratamiento de soporte medico específico.

El principal reservorio del virus que produce esta enfermedad son las aves y los caballos, mientras que el hombre que se infecta se convierte en huésped incidental, ""porque si bien el virus circula en su organismo –explica la doctora–, esa viremia tiene valores muy bajos y no afecta la transmisión"". La persona se enferma, pero el virus acaba allí su ciclo y, al contrario de lo que pasa con el dengue, si es picado nuevamente por un mosquito vector, este no se convierte de por sí en transmidor de la enfermedad. ""Las aves, las palomas y las torcacitas son los animales son los proncipales vectores en las ciudades"".

Como se trata de un mosqito doméstico y de hábitos nocturnos, remarca González Ayala, ""la principal forma de protección es recurrir al viejo mosquitero"".

Los casos de encefalitis de San Luis que se han detectado actualmente –hay 17 casos en estudio en el país– tienen una dispersión geográfica bastante amplia, que va, en la provincia de Buenos Aires, desde Tigre hasta Magdalena: ""Renemos un cuello de botella bastante importante en cuanto a la confirmación de casos, ya que el único centro capaz de hacer el análisis definitivo es el Instituto Maiztegui de Pergamino, lo cual explica que aunque los últimos casos de este ño se produjeron n mayo,aún no tengamos la cufra confirmada de casos totales"".

La última epidemia seria de encefalitis de San Luis, remarca la doctora González Ayala, se dio en la ciudad de Córdoba en el año 2005, con un total de 46 casos y una mortalidad relativamente muy alta: 17%. ""En la provincia de Buenos Aires no hemos tenido que lamentar muertes, pero tenemos muy presente la epidemia de Córdoba"", advierte la especialista.

En cuanto al dengue, los últimos casos registrados son los que figuran en las estadísticas dadas oficialmente por el Ministerio de Salud de la Nación en su página web, correspondientes a mayo pasado, es decir, a la temporada pasada.

Pero ya es primavera. ""Ya existe una amplia actividad en los países límítrofes, sobre todo en la fronteras con Paraguay y Brasil, y esto va a requerir estrategias de invervención muy actuvas, porque no hay que olvidarse de que en 2009 tuvimos la epidemia más grande de la historia, con mucha gente comprometida en varias provincias y con casos autóctonos, y hay muchas personas que están expuestas a la reinfección por otro serotipo de denguem con la posibilidad de presentación del dengue hemorágico"", explica la doctora González Ayala.

Cabe recirdar que el vurus dengue posee cuatro serotipos diferentes, y que en el caso de la primera infección se manifiesta en general como una enfermedad benigna que cursa con fiebre y dolores. Sin embargo, cuando la persona que ya tuvo dengue recibe la infección por otro serotipo diferente al anterior, aumentan las posibilidades de que su caso sea grave y adquiera las formas hemorrágicas. ""Por esa razón –señallan los especiaistas– se deben extremar las medidas de cuidado, tendientes fundamentalmente a impedir la cría del Aedes aegypti en aguas estancadas"".

""En la medida en que no se dediquen recursos para el medioambiente y no se implementen medidas tendientes a reducir las poblaciones de mosquitos, va a haber más incidencia de este tipo de enfermedades; y el otro puno crítico es la prevención"", opinó el doctor Horacio López, médico infectólogo pediatra presidente de la SADIP. González Ayala, en tanto, manifestó que ""estamos trabajando en la recuperación de la salud, y no en el pilar fundamental que debe ser la informaión y la prevención"". No habla de la actualidad específica, sino de una situación estructural que viene desde hace mucho tiempo: ""No es casual --señala– que se haya reitroducido en nuestro país el Aedes aegypti, vector del dengue y de la fierbre amarilla, que ya había sido eliminado de nuestro país en 1962"". Ante un caso sospechoso de dengue, toda la comunidad debe actuar inmediatamente.

Marcelo Rodríguez
Las inundaciones, las causas de la invasión del Aedes albifasciatus en otoñoAsí lo indica un estudio realizado entre 1998 y 2014 por expertos de la UBA; demuestra también que no habría barreras para la dispersión";link;post_page_71339054219;71339054219_137976282918858;https://www.facebook.com/71339054219/posts/137976282918858;http://bit.ly/cuOcbg;https://external.xx.fbcdn.net/safe_image.php?d=AQCZWfvjXwGbiRvj&w=130&h=130&url=http%3A%2F%2Fbucket.ak.lanacion.com.ar%2Fanexos%2Ffotos%2F92%2F1288592w75h50.jpg&cfs=1;https://external.xx.fbcdn.net/safe_image.php?d=AQCk0VijPbALIm8H&url=http%3A%2F%2Fbucket.ak.lanacion.com.ar%2Fanexos%2Ffotos%2F92%2F1288592w75h50.jpg;http://www.lanacion.com.ar/nota.asp?nota_id=1319918;lanacion.com.ar;2010-10-30T15:07:40+0000;1288451260;10/30/2010 17:07:40;16;11;16;0;27;11;11;0;5;2.0;2.0;1.0;13.0;2.0;0.0;;0;15;0;0;0;0;0;0
Tormenta trágica en una autopista de Córdoba: 9 muertos;"
CORDOBA.- Una furiosa tormenta, con ráfagas de viento de hasta 100 kilómetros por hora, provocaron que se levantara una cerrada polvareda, que se convirtió en una cortina mortal para los conductores que transitaban en la mañana de ayer por la autopista Córdoba-Rosario. Este fenómeno causó un choque en cadena de 15 vehículos, la muerte de nueve personas y otras diez sufrieron heridas.

Además, en la capital y en otras poblaciones, el vendaval ocasionó voladura de tinglados, carteles, cortes de cables de energía y derribó árboles que cayeron sobre vehículos e hirieron a sus ocupantes.

El desastre mayor se produjo poco después de las 8, en el kilómetro 655 de la citada autopista, en el tramo entre Pilar y Río Segundo, donde la polvareda cubrió el trazado y anuló la visibilidad de los conductores.

A pesar de la anunciada alerta meteorológica, la Policía Caminera no cortó a tiempo la carretera, por lo que sobrevino la tragedia.

Primero chocaron camiones y autos en la vía que conduce a esta capital. Para evitar embestir a los vehículos dañados, los conductores doblaron hacia el cantero central, pero se cruzaron a la vía contraria. Por ello se produjeron choques en ambas manos.

""Nadie nos avisó nada. De golpe vino la tormenta de tierra. No se veía nada. Quise esquivar a los otros vehículos y me tiré al cantero central. Ahí choqué con un auto"", dijo un camionero oriundo de Villa Constitución.

A su vez, Diego Concha, de Defensa Civil de la provincia, dijo que fue como ""un tornado con una gruesa cortina de tierra y arena lo que provocó la pérdida total de la visibilidad"".

Debido a que el viento y la tierra se mantenían e impedían la visibilidad, personal de bomberos, policial y de ambulancias tuvieron serias dificultades para llegar, por lo que las primeras víctimas fueron socorridas por otros conductores y vecinos de la zona. El rescate de las personas atrapadas fue lento y dificultoso. Los autos atrapados bajo los camiones quedaron reducidos a un manojo de hierros retorcidos.

Entre las sirenas y la confusión se escuchaban llantos y gritos de víctimas atrapadas que clamaban auxilio, mientras los rescatistas veían muy poco y casi no podían respirar por la nube de tierra. Varias horas después del choque múltiple, la policía confirmó la muerte de cuatro hombres, tres mujeres y dos niños.

El 23 de octubre de 2009, en el mismo sector de la autopista, ocurrió un accidente de similares características que involucró a una decena de vehículos y provocó tres muertos.

El jefe de la policía de Córdoba, Alejo Paredes, rechazó que la tragedia haya sido producto de una negligencia de la fuerza de seguridad y la atribuyó a ""una fatalidad"".

Las víctimas mortales fueron identificadas por la policía como Liliana Barra de Villarreal, Gustavo Zurlo, Marta Rivodino, María Cristina Varela, César Hernán Guisiano, Morena Chalamino Ludueña, Adriana del Rosario Soldán, Héctor Marcelo y Natalia Romina Ludueña.
";link;post_page_71339054219;71339054219_168541779839518;https://www.facebook.com/71339054219/posts/168541779839518;http://bit.ly/b51iHl;https://external.xx.fbcdn.net/safe_image.php?d=AQDOdIaiMIRt78sd&w=130&h=130&url=http%3A%2F%2Fwww.lanacion.com.ar%2Fimgs%2Flayout%2Flogos%2Fln_w75h50.jpg&cfs=1;https://external.xx.fbcdn.net/safe_image.php?d=AQDhdl_Bl6gsc0fp&url=http%3A%2F%2Fwww.lanacion.com.ar%2Fimgs%2Flayout%2Flogos%2Fln_w75h50.jpg;http://www.lanacion.com.ar/nota.asp?nota_id=1319919;lanacion.com.ar;2010-10-30T12:37:41+0000;1288442261;10/30/2010 14:37:41;3;11;3;0;14;10;10;0;4;2.0;2.0;1.0;12.0;1.0;0.0;;0;3;0;0;0;0;0;0
;;status;post_page_71339054219;71339054219_165345410161996;https://www.facebook.com/71339054219/posts/165345410161996;Una multitud despidi¢ a N?stor Kirchner en R¡o Gallegos  http://bit.ly/aEV0kf;;;;;2010-10-30T12:35:29+0000;1288442129;10/30/2010 14:35:29;6;4;6;0;10;3;3;0;2;1.0;2.0;2.0;1.0;1.0;3.0;"el t¡tulo del post no es igual que el de la nota. Puede observarse una infraxi¢n leve de pasaje de m1 a m3. sintetizando, el t¡tulo del diario se puestra como m s ""objetivo"" que el del post";0;6;0;0;0;0;0;0
;;status;post_page_71339054219;71339054219_138187612896986;https://www.facebook.com/71339054219/posts/138187612896986;Una multitud recibe los restos de N?stor Kirchner en Santa Cruz;;;;;2010-10-29T20:48:00+0000;1288385280;10/29/2010 22:48:00;9;33;9;0;42;33;33;0;51;1.0;2.0;4.0;1.0;3.0;3.0;lo curioso que que no hay enlace a ninguna noticia. S¢lo se pasa informaci¢n. Parece un telegrama.;0;8;0;0;0;0;0;0
La Presidenta reprendió a la policía en pleno cortejo fúnebre;"
Habían pasado pocos minutos de su salida de la Casa de Gobierno e iniciaba su camino hacia el Aeroparque, desde donde se trasladaron los restos de Néstor Kirchner a Santa Cruz. Una multitud acompañaba el recorrido del cortejo e intentaba acercarse al coche fúnebre para dar su último adiós al ex presidente.

Sorpresivamente, Cristina Kirchner se bajó del auto y reprendió a la policía que la custodiaba y que intentaba despejar la zona entre empujones, forcejeos y golpes. Fue en la avenida Leandro N. Alem, entre Perón y Mitre.

En medio del generalizado asombro, empezaron los aplausos a la jefa del Estado y las muestras de apoyo y agradecimiento. ""Fuerza Cristina"", le gritaban aquellos que pudieron verla aunque sea unos segundos.

En ese momento, muchos agradecieron el gesto e incluso la animaron para que siga reprendiendo a los oficiales. Varios de ellos se habían puesto violentos.
cerrar";link;post_page_71339054219;71339054219_126209987437560;https://www.facebook.com/71339054219/posts/126209987437560;http://bit.ly/bOVhBL;https://external.xx.fbcdn.net/safe_image.php?d=AQBgIq_-AjyXT_ox&w=130&h=130&url=http%3A%2F%2Fbucket.ak.lanacion.com.ar%2Fanexos%2Ffotos%2F49%2F1288049w75h50.jpg&cfs=1;https://external.xx.fbcdn.net/safe_image.php?d=AQDGO9WdtQ0d9TfM&url=http%3A%2F%2Fbucket.ak.lanacion.com.ar%2Fanexos%2Ffotos%2F49%2F1288049w75h50.jpg;http://www.lanacion.com.ar/nota.asp?nota_id=1319737;lanacion.com.ar;2010-10-29T19:23:19+0000;1288380199;10/29/2010 21:23:19;15;37;15;0;52;35;35;0;50;2.0;2.0;1.0;1.0;1.0;0.0;;0;14;0;0;0;0;0;0
;;status;post_page_71339054219;71339054219_166098720076428;https://www.facebook.com/71339054219/posts/166098720076428;"Los restos de Kirchner  en Aeroparque para el traslado a Santa Cruz;  videos  galer¡a de fotos y toda la cobertura minuto a minuto via Twitter http://bit.ly/9OE2Ga";;;;;2010-10-29T17:34:09+0000;1288373649;10/29/2010 19:34:09;7;12;7;0;19;11;11;0;16;1.0;2.0;2.0;1.0;3.0;1.0;"Es una mezcla entre cr¢nica y anuncio. Es una especie de ""anuncio"" sobre la cobertura. Hacen referencia a la cobertura ""minuto a minuto v¡a Twitter"". Se hace enlace a una nota  pero el t¡tulo no es el mismo porque se ve que el t¡tulo de la nota se ha ido editando por el paso del tiempo. ¨hay mezcla entre m4 y m4?";0;7;0;0;0;0;0;0
;;status;post_page_71339054219;71339054219_107789742621756;https://www.facebook.com/71339054219/posts/107789742621756;Miles de personas despedir n a Kirchner al paso del cortejo: Bajo la lluvia  el f?retro recorrer  las calles hasta Aeroparque;;;;;2010-10-29T16:17:14+0000;1288369034;10/29/2010 18:17:14;3;20;3;0;23;20;20;0;24;1.0;2.0;4.0;1.0;4.0;3.0;no hay enlace a nota. Mezcla entre m1 y m3;0;3;0;0;0;0;0;0
Cómo es el recorrido del traslado del féretro;"
El cortejo que traslada al féretro de Néstor Kirchner realiza un recorrido que comprende las avenidas Leandro Alem, Córdoba, 9 de Julio y Del Libertador y Salguero hasta la Costanera donde se encuentra la base militar del Aeroparque.

Las autoridades convocaron a la multitud a instalarse a la vera de esas avenidas para dale el último adiós al ex presidente.

En tanto, debido al operativo de seguridad por el velatorio del ex presidente en la Casa Rosada que continuaba esta mañana, permanece cortado el perímetro comprendido por Rivadavia, Bolívar e Hipólito Yrigoyen.

Asimismo, seguía interrumpido el tránsito en las calles y avenidas comprendidas en el radio Pellegrini, Bernardo de Irigoyen, Corrientes, Belgrano, Paseo Colón y Leandro N. Alem.
";link;post_page_71339054219;71339054219_150069658371665;https://www.facebook.com/71339054219/posts/150069658371665;Mir  el mapa http://bit.ly/bz9V5O;https://external.xx.fbcdn.net/safe_image.php?d=AQDOdIaiMIRt78sd&w=130&h=130&url=http%3A%2F%2Fwww.lanacion.com.ar%2Fimgs%2Flayout%2Flogos%2Fln_w75h50.jpg&cfs=1;https://external.xx.fbcdn.net/safe_image.php?d=AQDhdl_Bl6gsc0fp&url=http%3A%2F%2Fwww.lanacion.com.ar%2Fimgs%2Flayout%2Flogos%2Fln_w75h50.jpg;http://www.lanacion.com.ar/nota.asp?nota_id=1319693;lanacion.com.ar;2010-10-29T13:38:20+0000;1288359500;10/29/2010 15:38:20;6;14;6;0;20;14;14;0;15;1.0;2.0;1.0;1.0;4.0;4.0;Se agrega interpelaci¢n y se hace enlace a la nota. Hay diferencias en el t¡tulo pero porque el mismo ha ido cambiando con el paso del tiempo (ver empleo del tiempo verbal).;0;6;0;0;0;0;0;0
;;status;post_page_71339054219;71339054219_161751947180580;https://www.facebook.com/71339054219/posts/161751947180580;Lo que hay que saber antes de salir de casa http://bit.ly/cIHBxS;;;;;2010-10-29T12:47:39+0000;1288356459;10/29/2010 14:47:39;5;9;5;0;14;9;9;0;6;1.0;1.0;8.0;10.0;2.0;4.0;"""Lo que hay que saber antes de salir de casa"" es una especie de secci¢n. Aunque hay texto propio este es una r?plica del t¡tulo de la nota-secci¢n. Ver uso de la m4 ac  y m2.";0;5;0;0;0;0;0;0
